Chapter,Question,Answer
3,What is the difference between a ketose and an aldose?,"The difference between a ketose and an aldose is the presence or absence of an aldehyde group. Ketoses have a ketone functional group, while aldoses have an aldehyde functional group."
3,What is the function of chaperones in protein synthesis?,Chaperones are proteins that help other proteins fold into their correct shape and assist in protein transport across membranes.
3,How do fatty acids store chemical energy?,"Fatty acids store chemical energy by esterification with glycerol to form triglycerides, which can be hydrolyzed to release the energy when needed."
3,What is the difference between a nucleotide and a nucleic acid?,"A nucleotide is a molecule consisting of a sugar, a phosphate group, and a nitrogenous base. A nucleic acid is a polymer of nucleotides."
3,What are the four types of RNA and how do they function?,"The four types of RNA are messenger RNA, transfer RNA, ribosomal RNA, and small nuclear RNA. They function in protein synthesis, translation, and post-transcriptional modification."
3,Why are electrons important in dehydration synthesis?,Electrons play a crucial role in dehydration synthesis by facilitating the transfer of functional groups between molecules.
4,What is the cell theory?,"The cell theory states that all living organisms are composed of cells, which are the basic structural and functional units of life."
4,What is the extracellular matrix?,The extracellular matrix (ECM) is a network of macromolecules that provide structural and biochemical support to surrounding cells.
4,What are centrioles and flagella?,"Centrioles and flagella are both cilium-like structures, but they differ in their composition, function, and distribution within the cell."
4,How do antibiotics target bacterial cells?,Antibiotics target bacterial cells by disrupting the cell wall or interfering with essential cellular processes such as protein synthesis.
4,What is form follows function?,"Form follows function means that the shape and structure of a cell or organelle is determined by its function, and that the cell or organelle is shaped to optimize its performance."
4,How do plasma membranes form a bilayer?,"The formation of a bilayer is due to the amphiphilic nature of phospholipids, which have both hydrophilic and hydrophobic regions, causing them to self-assemble into a bilayer with hydrophilic heads facing outward."
4,What is plasmodesma?,"Plasmodesmas are membranous structures that connect the nuclei of adjacent plant cells, allowing for the exchange of genetic material between them."
4,How do cilia and flagella differ?,"Cilia and flagella differ in their structure and function. Cilia are shorter, thicker, and more numerous, while flagella are longer, thinner, and less abundant."
4,What is the extracellular matrix's role in cellular interactions?,"The ECM plays a critical role in mediating cell-cell and cell-matrix interactions, influencing cell behavior and organization."
4,How does the formation of an adult human follow the cell theory?,"The formation of an adult human follows the cell theory because it is a collection of cells that differentiate and organize into tissues, organs, and systems to create a functional whole."
5,What is the difference between facilitated diffusion and active transport?,"Facilitated diffusion is a passive process that requires no energy, while active transport is an energetic process that requires the cell to expend Energy."
5,What is receptor-mediated endocytosis?,Receptor-mediated endocytosis is a type of endocytosis in which extracellular substances bind to specific receptors on the surface of the cell before being internalized through Invagination of the membrane.
5,What is the purpose of the sodium-potassium pump?,The Sodium-potassium pump maintains the negative charge within the cell by pumping sodium out and potassium in.
5,What is tonicity?,"Tonicity refers to the balance of solutes and water movement across a selectively permeable membrane, with isotonic solutions having the same concentration of solutes as the cell, hypotonic solutions having a lower concentration, and hypertonic solutions having a higher concentration."
5,What are phagocytosis and pinocytosis?,"Phagocytosis is the engulfment of large particles by the cell membrane, while pinocytosis is the invagination of small vesicles from the cell membrane."
5,What is the role of aquaporins in a cell?,"Aquaporins are water channels that allow water to move across the cell membrane down its concentration gradient, allowing the cell to retain water and maintain proper tonicity."
5,What is the difference between receptor-mediated endocytosis and phagocytosis?,"Receptor-mediated endocytosis is a targeted process that only takes in specific substances, while phagocytosis engulfs all substances."
5,What is the purpose of the sodium-calcium exchanger (NCX)?,The sodium-calcium exchanger (NCX) is a secondary active transporter that maintains the proper concentration gradients of calcium and sodium ions across the cell membrane.
5,What are integral proteins?,"Integral proteins are proteins that span the entire thickness of the plasma membrane, with their hydrophobic tails facing inward and their hydrophilic heads facing outward."
5,What is the difference between facilitated diffusion and secondary active transport?,"Facilitated diffusion is a passive process that does not require energy, while secondary active transport requires the cell to expend Energy."
6,What is the difference between anabolic and catabolic processes?,"Anabolic processes involve the synthesis of complex molecules from simpler precursors, while catabolic processes involve the breakdown of complex molecules into simpler products."
6,What is the second law of thermodynamics?,"The second law of thermodynamics states that the total entropy of an isolated system will always increase over time, except in reversible processes."
6,What are enzymes?,"Enzymes are proteins that act as biological catalysts, speeding up chemical reactions without being consumed by the reaction."
6,What is the induced-fit model of enzyme-substrate binding?,"The induced-fit model posits that the enzyme and substrate interact in a dynamic manner, with the binding of the substrate causing a conformational change in the enzyme that increases its affinity for the substrate."
6,What is allostery?,"Allostery refers to the regulation of an enzyme's activity by an effector molecule that binds to a site other than the active site, causing a conformational change in the enzyme."
6,What is the EA for ATP hydrolysis?,"The EA for ATP hydrolysis is the energy required to break the bonds between the phosphate groups in ATP, which is approximately 30 kJ/mol."
6,What is the difference between a spontaneous reaction and one that occurs instantaneously?,"A spontaneous reaction is one that occurs naturally without any external influence, while an instantaneous reaction is one that occurs immediately and without any intervening period."
6,What is the transition state in a chemical reaction?,"The transition state is the short-lived, highly unstable intermediate state in which the reactants are converted into products, and is characterized by a high energy content and a low entropy."
6,What are vitamins?,"Vitamins are organic compounds that are essential nutrients for various biological functions, such as energy metabolism and immune function."
7,What is cellular respiration?,"Cellular respiration is the process by which cells convert glucose into energy, producing ATP and carbon dioxide as byproducts."
7,What is glycolysis?,"Glycolysis is the first stage of cellular respiration, in which glucose is converted into pyruvate through a series of enzyme-catalyzed reactions."
7,What is the citric acid cycle?,"The citric acid cycle is a series of chemical reactions that occur within the mitochondria of cells, resulting in the production of ATP, NADH, and FADH2."
7,What is the difference between aerobic and anaerobic respiration?,"Aerobic respiration occurs in the presence of oxygen and produces ATP, NADH, and FADH2, while anaerobic respiration occurs in the absence of oxygen and produces lactic acid or ethanol as byproducts."
7,What is fermentation?,"Fermentation is a metabolic process in which cells convert glucose into lactic acid, ethanol, or carbon dioxide without the use of oxygen."
7,What are the three main stages of cellular respiration?,"The three main stages of cellular respiration are glycolysis, the citric acid cycle, and oxidative phosphorylation."
7,What is the electron transport chain?,The electron transport chain is a series of protein complexes located in the mitochondria that generate ATP through the transfer of electrons from NADH and FADH2 to oxygen.
7,What is the difference between aerobic and anaerobic glycolysis?,"Aerobic glycolysis occurs in the presence of oxygen and produces pyruvate, while anaerobic glycolysis occurs in the absence of oxygen and produces lactic acid."
7,What is the role of ATP in cellular respiration?,ATP serves as an energy carrier that is produced through the process of cellular respiration and used to fuel other metabolic processes in the cell.
8,What is the role of light-dependent reactions in photosynthesis?,"Light-dependent reactions, also known as the light reactions, convert light energy into chemical energy and are essential for the production of ATP and NADPH."
8,What is the Calvin cycle?,The Calvin cycle is a series of biochemical reactions that occur in the stroma of chloroplasts and involve the fixation of carbon dioxide into organic compounds.
8,What is the purpose of the electron transport chain?,"The electron transport chain is a series of protein complexes that transfer electrons from one complex to another, generating ATP and NADPH in the process."
8,How does photosynthesis produce glucose?,"Photosynthesis produces glucose through a series of biochemical reactions that involve the fixation of carbon dioxide into organic compounds, such as 3-phosphoglycerate."
8,What is the difference between light-dependent and light-independent reactions?,"Light-dependent reactions are dependent on light energy and occur in the thylakoid membranes, while light-independent reactions do not require light energy and occur in the stroma."
8,How does photosynthesis affect the environment?,Photosynthesis is essential for the survival of nearly all living organisms and is responsible for the production of oxygen and organic compounds that support life on Earth.
8,What is the difference between C3 and C4 plants?,"C3 plants have a classical C3 photosynthetic pathway, while C4 plants have a different type of photosynthetic pathway that involves the formation of a carboxylic acid from OAA."
8,How does the structure of chloroplasts support photosynthesis?,"Chloroplasts have a highly organized structure that includes thylakoid membranes, stroma, and grana, which allow for efficient light absorption and energy transfer."
8,What is the role of RuBisCO in photosynthesis?,RuBisCO is an enzyme that catalyzes the fixation of carbon dioxide into organic compounds during the Calvin cycle.
8,How does the regeneration stage of the Calvin cycle work?,"The regeneration stage of the Calvin cycle involves the conversion of 3-phosphoglycerate to glyceraldehyde-3-phosphate, which is then used to regenerate RuBP."
9,What is intracellular signaling?,"Intracellular signaling occurs within the cell and involves the binding of extracellular signals to specific receptors on the surface of the cell, triggering a cascade of signaling events that ultimately lead to changes in gene expression or other cellular responses."
9,What is intercellular signaling?,"Intercellular signaling occurs between cells and involves direct contact between adjacent cells, allowing for the exchange of signaling molecules and coordinated cellular responses."
9,What is quorum sensing?,"Quorum sensing is a form of intercellular signaling that involves the release of signaling molecules by bacteria, allowing them to coordinate their behavior and regulate gene expression in response to changes in population density."
9,What are second messengers?,"Second messengers are small molecules that are produced intracellularly as a result of signaling events, and they play a key role in transmitting signals from the extracellular environment to the interior of the cell."
9,What is the difference between a receptor and an enzyme?,"A receptor is a protein on the surface of a cell that binds extracellular signals, while an enzyme is a protein that speeds up a chemical reaction."
9,What is paracrine signaling?,Paracrine signaling occurs within the same cell and involves the diffusion of signaling molecules through the extracellular space to reach their target proteins.
9,How does a kinase regulate signaling pathways?,"A kinase is an enzyme that phosphorylates other proteins, which can activate or inhibit their activity and trigger downstream signaling events."
9,What is the difference between a ligand and a receptor?,"A ligand is a small molecule that binds to a specific receptor on the surface of a cell, while a receptor is a protein that recognizes and binds a specific ligand."
9,What are the two main types of signaling pathways?,"The two main types of signaling pathways are intracellular signaling, which occurs within the cell, and intercellular signaling, which occurs between cells."
9,How does the extracellular matrix regulate cell growth?,The extracellular matrix provides structural support for cells and regulates their growth by modulating the availability of growth factors and other signaling molecules.
10,What is the difference between a human somatic cell and a human gamete?,"A human somatic cell is any cell in the body other than reproductive cells, while a human gamete is a sexually producing cell that fuses with another to Produce offspring."
10,What is the function of cohesin protein during mitosis?,"Cohesin protein holds sister chromatids together until anaphase II of meiosis or mitosis, when it is cleaved by separin proteases to allow the chromosomes to separate."
10,What is the role of p53 in cell cycle regulation?,p53 is a tumor suppressor protein that regulates the G1/S checkpoint and ensures damaged cells undergo apoptosis instead of dividing.
10,What are the three main cell-cycle checkpoints?,"The three main cell-cycle checkpoints are the G1/S, G2/M, and M phases."
10,What is the function of an anti-kinase drug in mitosis?,"Anti-kinase drugs target the kinases that are essential for the proper execution of mitosis, halting the cell cycle and preventing the cancer cell from dividing."
10,What is the difference between a eukaryotic and prokaryotic cell division?,"Eukaryotic cells undergo cytokinesis, where the cell divides by constricting the cytoplasm to form a cleavage furrow, while prokaryotes divide by binary fission, where the cell divides in half without a cleavage furrow."
10,What is the function of microtubules during mitosis?,"Microtubules play a crucial role in mitosis by providing the structural framework for chromosome alignment, movement of chromosomes during anaphase, and formation of the spindle apparatus."
10,What is the difference between a genome and a chromosome?,"A genome is the complete set of DNA contained within a cell or organism, while a chromosome is one of the thread-like structures composed of DNA and histone proteins found in the nucleus of eukaryotic cells."
10,What is the purpose of cytokinesis?,"Cytokinesis is essential for the proper separation of genetic material during cell division, ensuring each daughter cell receives a complete set of chromosomes."
11,What is the purpose of meiosis?,Meiosis is the process by which sexually reproducing organisms produce gametes (sperm or egg cells) that are genetically unique and contain half the genetic material of the parent cell.
11,What is the difference between a haploid and diploid?,"A haploid has one set of chromosomes, while a diploid has two sets of chromosomes, one from each parent. Haploids are typically smaller and more susceptible to environmental stressors, while diploids have more genetic diversity and better fitness."
11,What is crossing over during meiosis?,"Crossing over is the process by which homologous chromosomes exchange genetic material during meiosis, leading to increased genetic diversity in offspring."
11,Why is sexual reproduction beneficial for a population but detrimental to an individual offspring?,"Sexual reproduction increases genetic variability within a population, making it more adaptable to changing environments. However, for an individual offspring, the chance of inheriting harmful mutations is higher with sexual reproduction than with asexual reproduction."
11,How does the alternation of generations life cycle differ from the diploid-dominant life cycle?,"The alternation of generations life cycle has haploid and diploid stages, while the diploid-dominant life cycle has only diploid stages. The alternation of generations life cycle allows for more genetic diversity and adaptability to changing environments."
11,How do organisms with haploid-dominant life cycles ensure continued genetic diversification in offspring without using a meiotic process?,"Organisms with haploid-dominant life cycles use asexual reproduction methods such as binary fission or spores, which do not involve meiosis and therefore maintain genetic uniformity."
12,What is Mendelian inheritance?,Mendelian inheritance is the passing of inherited traits from parents to offspring according to specific rules.
12,What is the Law of Independent Assortment in genetics?,The Law of Independent Assortment states that the inheritance of one trait does not depend on the inheritance of another trait.
12,What is epistasis in genetics?,"Epistasis is the interaction of multiple genes to produce a trait or phenotype, often resulting in a non-additive effect."
12,What is the difference between homozygous and heterozygous in genetics?,"Homozygous refers to having two copies of the same gene, while heterozygous refers to having one copy each of two different genes."
12,What is a Punnett square and how is it used in genetics?,A Punnett square is a grid used to predict the possible outcomes of a cross between two parents based on their genotypes. It is used to determine the probability of different phenotypes in the offspring.
12,What is the difference between dominant and recessive in genetics?,"Dominant traits are those that are expressed when both copies of a gene are the same, while recessive traits are only expressed when both copies are different."
12,What is the purpose of a test cross in genetics?,"A test cross is used to determine whether a particular trait is dominant or recessive, by crossing a heterozygous parent with a homozygous recessive parent."
12,What is the difference between homozygous recessive and homozygous dominant in genetics?,"Homozygous recessive refers to having two copies of the same gene, while homozygous dominant refers to having two copies of the same gene, both of which are expressed."
12,What is the probability method in genetics?,The probability method is a way to determine the probability of different genotypes and phenotypes in an offspring based on the known genotype of the parents.
13,What is the Chromosomal Theory of Inheritance?,"The Chromosomal Theory of Inheritance posits that genetic information is passed from one generation to the next through the transfer of entire chromosomes, rather than individual genes."
13,What is the difference between homologous and nonhomologous recombination?,"Homologous recombination involves the exchange of genetic information between two identical or nearly identical DNA molecules, while nonhomologous recombination involves the exchange of genetic information between two DNA molecules that are not identical."
13,What is the role of X-inactivation in sex determination?,"In females, one X chromosome is inactivated to avoid a doubling of gene expression, while in males, both X chromosomes are active, resulting in the expression of female characteristics."
13,What is the difference between aneuploidy and polyploidy?,"Aneuploidy refers to having an abnormal number of chromosomes, while polyploidy refers to having multiple copies of a particular chromosome."
13,What is the significance of pericentric inversions?,Pericentric inversions can lead to changes in gene expression and potentially cause genetic disorders.
13,What is the difference between independent assortment and linkage?,"Independent assortment refers to the random sorting of alleles during gamete formation, while linkage refers to the tendency of genes to be inherited together due to their proximity on the same chromosome."
13,What is the role of synapsis in meiosis?,Synapsis is the stage of meiosis where homologous chromosomes pair and exchange genetic information through recombination.
13,What is the difference between a pericentric inversion and a interstitial deletion?,"A pericentric inversion involves the reversal of a segment of chromosomal DNA, while an interstitial deletion involves the loss of a segment of chromosomal DNA."
13,What is the significance of X-inactivation in non-human mammals?,"X-inactivation is not observed in non-human mammals, as they have only one X chromosome and no need for X-inactivation."
14,What is DNA replication?,DNA replication is the process by which a cell makes an exact copy of its DNA before cell division.
14,What is semi-conservative replication?,"Semi-conservative replication is a process in which each new DNA molecule consists of one old strand and one newly synthesized strand, with the old strands being conserved and the newly synthesized strands being non-conserved."
14,What is the difference between prokaryotic and eukaryotic DNA replication?,"Prokaryotes have a single circular chromosome, while eukaryotes have multiple linear chromosomes. Prokaryotic DNA replication is semi-conservative, while eukaryotic DNA replication is conservative."
14,What is the role of primers in DNA replication?,Primers are short RNA molecules that initiate DNA synthesis by providing a starting point for the DNA polymerase.
14,What would happen if you forgot to add a primer in a tube containing the reaction mix for a DNA sequencing reaction?,"If a primer is not added to a DNA sequencing reaction, the reaction will not proceed and no new DNA strands will be synthesized."
14,How do quinolone antibiotics treat bacterial infections?,"Quinolone antibiotics block the activity of topoisomerase, which is essential for bacterial DNA replication and repair. This treatment works by preventing the unwinding of the double helix during replication and repair."
14,How do linear chromosomes in eukaryotes ensure that their ends are replicated completely?,"Linear chromosomes in eukaryotes have telomeric repeats at their ends, which are protected by a shelterin complex. This ensures that the ends of the chromosomes are replicated completely during DNA replication."
14,What is the consequence of mutation of a mismatch repair enzyme?,A mutation in a mismatch repair enzyme can lead to the accumulation of mutations and potentially cancer.
15,What is the genetic code?,The genetic code is a set of rules used by cells to translate DNA into proteins.
15,What is transcription in prokaryotes?,Transcription in prokaryotes is the process by which RNA polymerase reads the DNA template and synthesizes a complementary RNA strand.
15,What is translation in prokaryotes?,"Translation in prokaryotes is the process by which the mRNA sequence is read by ribosomes, and the encoded amino acids are assembled into a polypeptide chain."
15,What is the role of initiation codons in translation?,"Initiation codons are the sequence of three nucleotides that serve as the starting point for protein synthesis, and are recognized by the ribosome to begin translation."
15,What is the difference between rho-dependent and rho-independent termination of transcription in prokaryotes?,"Rho-dependent termination occurs when the RNA polymerase is inhibited by the presence of rho protein, while rho-independent termination occurs when the RNA polymerase is not affected by the presence of rho protein."
15,What is the effect of degeneracy on the genetic code?,"Degeneracy of the genetic code makes cells more robust to mutations, as multiple codons can code for the same amino acid."
15,How do insertion mutations affect protein function?,"Insertion mutations can have dramatic effects on protein function by disrupting the normal reading frame or creating a new stop codon, leading to non-functional proteins."
15,What is the effect of nonsense mutations on spliceosome machinery?,"Nonsense mutations in the spliceosome machinery can lead to the inclusion of premature stop codons, resulting in the production of truncated proteins."
15,What is the difference between rhodependent and rho-independent termination of transcription in prokaryotes?,"Rhodependent termination occurs when the RNA polymerase requires the presence of the rho protein to terminate transcription, while rho-independent termination occurs when the RNA polymerase does not require the presence of rho protein."
16,What is gene expression?,Gene expression is the process by which the information in a cell's DNA is used to synthesize proteins and perform other functions within the cell.
16,What is epigenetic modification?,"Epigenetic modifications are changes to the chromatin structure of a cell that do not involve changes to the DNA sequence itself, but instead affect how the DNA is packaged and accessed by the cell."
16,What is transcriptional regulation?,"Transcriptional regulation refers to the mechanisms by which gene expression is controlled, including the binding of transcription factors to specific DNA sequences and the recruitment of RNA polymerase to initiate transcription."
16,What is post-transcriptional modification?,"Post-transcriptional modifications refer to changes made to RNA molecules after they have been transcribed, including splicing, editing, and degradation."
16,What is histone acetylation?,"Histone acetylation is a type of epigenetic modification in which the histone proteins that make up the chromatin structure are modified with an acetyl group, leading to increased accessibility of the associated DNA."
16,What is gene silencing?,"Gene silencing refers to the process by which gene expression is deliberately reduced or eliminated, often through the use of RNA interference or other epigenetic modifications."
16,How does DNA methylation affect gene expression?,"DNA methylation can affect gene expression by altering the recruitment of transcription factors and other proteins to specific DNA sequences, as well as by influencing the stability of RNA molecules."
16,What is a transcription factor?,A transcription factor is a protein that binds to specific DNA sequences and recruits RNA polymerase to initiate transcription.
16,How does chromatin structure affect gene expression?,Chromatin structure can affect gene expression by influencing the accessibility of the associated DNA to transcription factors and other proteins.
17,What is genomics?,"Genomics is the study of the structure, function, and evolution of genomes."
17,What is a genome?,A genome is the complete set of genetic information contained within an organism's DNA.
17,How is whole-genome sequencing different from traditional sequencing methods?,"Whole-genome sequencing differs from traditional sequencing methods in that it allows for the analysis of the entire genome, rather than just specific regions or genes."
17,What is a biomarker?,A biomarker is a molecule or characteristic that can be used to measure the presence or progress of a disease or condition.
17,How could genomics be used to predict disease risk and treatment options?,"Genomics could be used to predict disease risk and treatment options by analyzing genetic variations that may predispose individuals to certain diseases, and by identifying genes or gene pathways that are involved in the development or progression of a disease."
17,What is personalized medicine?,Personalized medicine is an approach to medical practice that takes into account individual variations in genetic makeup when selecting treatments.
17,How has proteomics been used in cancer detection and treatment?,"Proteomics has been used in cancer detection and treatment by analyzing the proteins present in cancer cells to identify potential biomarkers for early detection, and by identifying protein targets for cancer therapies."
17,What is metagenomics?,"Metagenomics is the study of the genetic material of a community of microorganisms, such as those found in the human gut or in the environment."
18,What is speciation?,"Speciation is the process by which new species arise through geographic isolation, genetic isolation, or other mechanisms that prevent gene flow between populations."
18,What is prezygotic speciation?,"Prezygotic speciation refers to the process by which two species in the early stages of divergence produce fertile offspring, but the offspring are less fit than the parents."
18,What is an examples of a prezygotic barrier?,An example of a prezygotic barrier is the inability of two species of turtles to breed at different times of the year.
18,What is autopolyploidy?,"Autopolyploidy is a condition in which a species has an extra set of chromosomes that is identical to one of its parents, resulting in a total of three or more sets of chromosomes."
18,What is allopolyploidy?,"Allopolyploidy is a condition in which a species has an extra set of chromosomes that is different from one of its parents, resulting in a total of three or more sets of chromosomes."
18,What is the main difference between autopolyploidy and allopolyploidy?,"The main difference between autopolyploidy and allopolyploidy is that in autopolyploidy, the extra set of chromosomes is identical to one of the parents, while in allopolyploidy, the extra set of chromosomes is different from one of the parents."
18,What is hybrid sterility?,"Hybrid sterility refers to the phenomenon in which hybrid offspring are less fit or unable to reproduce, leading to the persistence of reproductive isolation between species."
18,What is reinforcement?,Reinforcement refers to the continued divergence of species based on the low fitness of hybrid offspring.
18,What is punctuated equilibrium?,"Punctuated equilibrium is a theory proposing that evolution occurs in rapid bursts followed by long periods of stability, rather than constant gradual change."
19,What is evolution?,Evolution is the change in the inherited characteristics of a population of organisms over time.
19,What is natural selection?,"Natural selection is the process by which individuals with certain heritable traits are more likely to survive and reproduce, passing those traits on to their offspring."
19,What is genetic variation?,Genetic variation refers to the differences in the DNA sequences within a population of organisms.
19,What is the Hardy-Weinberg principle?,"The Hardy-Weinberg principle states that, in the absence of natural selection, the frequency of alleles in a population will remain constant from one generation to the next."
19,What is genetic drift?,"Genetic drift refers to the random change in the frequency of an allele in a population over time, due to chance events such as genetic recombination and mutation."
19,What is stabilizing selection?,"Stabilizing selection is the process by which individuals with extreme traits are less likely to survive and reproduce, leading to a more stable population."
19,What is directional selection?,"Directional selection is the process by which individuals with certain traits become more common in a population over time, due to their increased fitness."
19,What is diversifying selection?,"Diversifying selection is the process by which individuals with a variety of traits become more common in a population, leading to an increase in genetic variation."
19,What is assortative mating?,Assortative mating refers to the tendency for individuals to mate with others that are similar to themselves in certain traits or characteristics.
20,What is the taxonomic classification system?,The taxonomic classification system is a method of grouping organisms based on their shared characteristics and evolutionary relationships.
20,What is a phylogenetic tree?,"A phylogenetic tree is a diagram representing the evolutionary relationships among a group of organisms, with more closely related organisms grouped together."
20,What is homology?,"Homology refers to the shared ancestry and similarities among organisms, such as body structures or DNA sequences, that are derived from a common ancestor."
20,What is analogous trait?,"An analogous trait is a characteristic present in two or more species that have evolved independently of one another, but serve a similar function."
20,What is horizontal gene transfer?,"Horizontal gene transfer refers to the transfer of genetic material between organisms other than by vertical inheritance, such as through bacterial transformation or gene transfer agents."
20,What is maximum parsimony?,"Maximum parsimony is a method of phylogenetic analysis that favors the most parsimonious explanation for the evolutionary history of a group of organisms, based on the principles of minimal change and common ancestry."
20,What is the trunk of a phylogenetic tree?,The trunk of a phylogenetic tree represents the most ancient common ancestor of all the organisms being studied.
20,How do eukaryotic cells differ from prokaryotic cells?,"Eukaryotic cells have a true nucleus, membrane-bound organelles, and a more complex cell structure than prokaryotic cells, which lack these features."
20,How do analogous traits differ from homologous traits?,"Analogous traits are similarities among organisms that have evolved independently of one another, while homologous traits are similarities among organisms that share a common ancestor."
21,What are the two main types of viruses?,The two main types of viruses are DNA viruses and RNA viruses.
21,What is the genomic structure of a virus?,"Viruses have a protein coat (capsid) that surrounds the genetic material (genome), which can be single-stranded DNA, double-stranded DNA, or RNA."
21,What is lysis?,"Lysis is the bursting of a cell, often resulting in cell death."
21,What is the difference between a lytic cycle and a lysogenic cycle?,"A lytic cycle is a cycle of viral replication that results in cell lysis and the production of new virus particles. A lysogenic cycle is a cycle of viral replication that does not result in cell lysis, but rather the integration of the virus into the host cell's genome."
21,What are bacteriophages?,Bacteriophages are viruses that infect bacteria.
21,What is the difference between a prokaryotic and a eukaryotic cell?,"Prokaryotic cells lack a true nucleus and other membrane-bound organelles found in eukaryotic cells. Eukaryotic cells have a true nucleus, mitochondria, and other membrane-bound organelles."
21,What is the function of a capsid?,The capsid is the protein coat of a virus that surrounds the genetic material (genome).
21,What are viroids?,"Viroids are small, single-stranded RNA molecules that replicate and infect plants."
22,What are prokaryotes?,Prokaryotes are single-celled organisms that lack a true nucleus and other membrane-bound organelles.
22,What is the difference between bacteria and archaea?,"Both bacteria and archaea are prokaryotes, but they have different cell wall compositions and different types of lipids in their membranes."
22,What is the carbon cycle?,"The carbon cycle is the process by which carbon is exchanged between the atmosphere, oceans, and land surfaces."
22,How do extremophiles contribute to the carbon cycle?,"Extremophiles, such as those found in high-temperature environments like hydrothermal vents, play a crucial role in the carbon cycle by converting dissolved carbon into organic compounds that can be used by other organisms."
22,What is the difference between chemotrophs and phototrophs?,"Chemotrophs are prokaryotes that obtain their energy by oxidizing inorganic compounds, while phototrophs are organisms that obtain their energy from light."
22,What is the role of lactic acid-producing bacteria in food production?,"Lactic acid-producing bacteria, such as those found in yogurt and cheese, are used to ferment milk and create these food products."
22,What is the reason for the imprudent and excessive use of antibiotics being a major global problem?,"The overuse of antibiotics leads to the development of antibiotic-resistant bacteria, which can cause severe infections that are difficult to treat."
22,How would you detect the presence of a non-culturable prokaryote in an environmental sample?,"To detect the presence of a non-culturable prokaryote in an environmental sample, one could use molecular biology techniques such as PCR or DNA sequencing to identify specific genes or markers that are present in the organism."
22,"What is the statement that both types, bacteria and archaea, have the same basic structures, but built from different chemical components?","This statement refers to the fact that both bacteria and archaea have cell membranes and other structural components that are composed of lipids and proteins, but the specific types of lipids and proteins differ between the two groups."
23,What is the last eukaryotic common ancestor (LECA)?,The last eukaryotic common ancestor (LECA) is thought to have lived around 1.5 billion years ago and had features of both Archaea and Bacteria.
23,What is endosymbiosis?,"Endosymbiosis is the process by which one organism lives within the cells of another, often leading to the development of specialized organelles."
23,What are protists?,"Protists are a diverse group of eukaryotic microorganisms that cannot be classified as animals, plants, or fungi."
23,What is the difference between paramecia and the projected traits of the last eukaryotic common ancestor?,"Paramecia have a simpler flagellar pocket and lack an eyespot, features that the last eukaryotic common ancestor is thought to have had."
23,What is conjugation in protists?,"Conjugation in protists is the process of cell-to-cell transfer of genetic material, allowing for the exchange of genes between different species."
23,What is the role of mitochondria in eukaryotic cells?,Mitochondria are organelles found in eukaryotic cells that are responsible for generating energy for the cell through oxidative phosphorylation.
